Species,Lake,Diet,Ecotype,AdultLength_cm,Aggression_1to5,Activity_1to5,DisplayAbility_1to5,MinGroupSize,PreferredPH,PreferredTemp_C,PreferredHardness_Dgh,Rarity_1to5,CareDifficulty_1to5,Price_GBP,RecommendedTank_L,SensitivityWaterParams_1to5,SensitivityStress_1to5
Protomelas spilonotus,Malawi,Carnivore,Hap,18,3,3,5,4,8,25,10,3,3,15,150,2,3
Protomelas fenestratus,Malawi,Carnivore,Hap,22,3,3,5,4,8,25,10,3,3,18,180,2,3
Protomelas marginatus,Malawi,Carnivore,Hap,20,3,3,4,4,8,25,10,3,3,15,150,2,3
Nimbochromis livingstonii,Malawi,Carnivore,Hap,25,3,2,4,3,8,25,10,4,3,22,180,2,3
Nimbochromis venustus,Malawi,Carnivore,Hap,25,3,2,4,3,8,25,10,4,3,22,180,2,3
Nimbochromis polystigma,Malawi,Carnivore,Hap,22,3,2,4,3,8,25,10,4,3,20,180,2,3
Otopharynx lithobates,Malawi,Carnivore,Hap,15,3,3,3,4,8,25,10,3,3,14,150,2,3
Otopharynx tetrastigma,Malawi,Carnivore,Hap,17,3,3,3,4,8,25,10,3,3,14,300,2,3
Red Zebra Cichlid,Malawi,Omnivore,Mbuna,12,4,4,4,6,7.8,26,12,2,3,12,200,2,4
Deep Water Hap Cichlid,Malawi,Carnivore,Hap,20,3,3,5,1,8,26,12,3,3,25,300,2,3
Albino Peacock Cichlid,Malawi,Carnivore,Peacock,15,3,3,5,1,7.8,26,12,2,2,15,250,2,2
Ruby Red Peacock Cichlid,Malawi,Carnivore,Peacock,15,3,3,5,1,7.8,26,12,2,2,18,250,2,2
Blue Orchid Peacock Cichlid,Malawi,Carnivore,Peacock,15,3,3,5,1,7.8,26,12,3,2,20,250,2,2
Sulfur Head Peacock Cichlid,Malawi,Carnivore,Peacock,15,3,3,5,1,7.8,26,12,3,2,20,250,2,2
Neolamprologus brichardi,Tanganyika,Omnivore,Rock Dweller,10,3,3,4,6,8.2,25,15,2,2,8,120,3,3
Neolamprologus leleupi,Tanganyika,Carnivore,Rock Dweller,12,3,3,4,1,8.2,25,15,2,3,10,150,3,4
Neolamprologus cylindricus,Tanganyika,Carnivore,Rock Dweller,12,3,3,4,1,8.2,25,15,3,3,15,150,3,4
Neolamprologus multifasciatus,Tanganyika,Omnivore,Shell Dweller,5,2,3,3,6,8.2,25,15,3,2,10,60,3,3
Neolamprologus similis,Tanganyika,Omnivore,Shell Dweller,5,2,3,3,6,8.2,25,15,3,2,10,60,3,3
Lamprologus ocellatus,Tanganyika,Omnivore,Shell Dweller,6,2,3,4,1,8.2,25,15,3,2,12,60,3,3
Julidochromis marlieri,Tanganyika,Carnivore,Rock Dweller,12,3,3,4,2,8.2,25,15,2,2,12,150,3,3
Julidochromis transcriptus,Tanganyika,Carnivore,Rock Dweller,8,2,3,4,2,8.2,25,15,2,2,10,100,3,3
Julidochromis ornatus,Tanganyika,Carnivore,Rock Dweller,8,2,3,4,2,8.2,25,15,2,2,10,100,3,3
Julidochromis dickfeldi,Tanganyika,Carnivore,Rock Dweller,9,2,3,4,2,8.2,25,15,3,2,12,120,3,3
Cyprichromis leptosoma,Tanganyika,Planktivore,Open Water,12,2,5,4,10,8.5,25,15,3,3,15,200,3,4
Paracyprichromis nigripinnis,Tanganyika,Planktivore,Open Water,10,2,5,4,10,8.5,25,15,3,3,15,200,3,4
Tropheus brichardi,Tanganyika,Herbivore,Rock Grazer,12,4,4,4,12,8.4,25,15,4,4,25,300,4,4
